id	predict	actual
2332	Bronze	Bronze
2333	Bronze	Bronze
2334	Gloden	Gloden
2335	Bronze	Bronze
2336	Gloden	Gloden
2337	Bronze	Bronze
2338	Bronze	Bronze
2339	Bronze	Bronze
2340	Bronze	Bronze
2341	Bronze	Bronze
2342	Bronze	Bronze
2343	Bronze	Silver
2344	Silver	Normal
2345	Bronze	Bronze
2346	Normal	Bronze
2347	Gloden	Gloden
2348	Normal	Normal
2349	Bronze	Bronze
2350	Bronze	Bronze
2351	Bronze	Bronze
2352	Silver	Gloden
2353	Silver	Silver
2354	Bronze	Silver
2355	Silver	Silver
2356	Bronze	Bronze
2357	Gloden	Gloden
2358	Bronze	Normal
2359	Bronze	Bronze
2360	Silver	Silver
2361	Bronze	Bronze
2362	Bronze	Bronze
2363	Bronze	Normal
2364	Bronze	Bronze
2365	Bronze	Bronze
2366	Silver	Gloden
2367	Gloden	Gloden
2368	Bronze	Bronze
2369	Gloden	Gloden
2370	Bronze	Bronze
2371	Bronze	Bronze
2372	Bronze	Bronze
2373	Bronze	Bronze
2374	Gloden	Silver
2375	Gloden	Gloden
2376	Bronze	Bronze
2377	Normal	Normal
2378	Bronze	Bronze
2379	Normal	Bronze
2380	Silver	Silver
2381	Bronze	Bronze
2382	Gloden	Gloden
2383	Bronze	Bronze
2384	Bronze	Bronze
2385	Silver	Normal
2386	Bronze	Silver
2387	Normal	Silver
2388	Bronze	Bronze
2389	Gloden	Gloden
2390	Bronze	Bronze
2391	Bronze	Silver
2392	Bronze	Bronze
2393	Normal	Bronze
2394	Bronze	Silver
2395	Normal	Bronze
2396	Bronze	Bronze
2397	Bronze	Gloden
2398	Bronze	Bronze
2399	Bronze	Silver
2400	Bronze	Silver
2401	Gloden	Gloden
2402	Normal	Normal
2403	Bronze	Bronze
2404	Gloden	Bronze
2405	Bronze	Bronze
2406	Normal	Normal
2407	Gloden	Gloden
2408	Bronze	Bronze
2409	Bronze	Bronze
2410	Bronze	Bronze
2411	Bronze	Silver
2412	Bronze	Bronze
2413	Bronze	Bronze
2414	Normal	Normal
2415	Bronze	Bronze
2416	Normal	Gloden
2417	Bronze	Bronze
2418	Bronze	Bronze
2419	Bronze	Bronze
2420	Bronze	Bronze
2421	Bronze	Silver
2422	Bronze	Bronze
2423	Bronze	Normal
2424	Gloden	Gloden
2425	Silver	Bronze
2426	Silver	Bronze
2427	Normal	Normal
2428	Gloden	Gloden
2429	Gloden	Gloden
2430	Gloden	Bronze
2431	Bronze	Bronze
2432	Bronze	Silver
2433	Bronze	Bronze
2434	Bronze	Bronze
2435	Normal	Normal
2436	Bronze	Bronze
2437	Bronze	Gloden
2438	Bronze	Bronze
2439	Bronze	Normal
2440	Bronze	Gloden
2441	Bronze	Bronze
2442	Gloden	Gloden
2443	Bronze	Bronze
2444	Silver	Silver
2445	Bronze	Bronze
2446	Bronze	Silver
2447	Bronze	Bronze
2448	Bronze	Bronze
2449	Bronze	Gloden
2450	Bronze	Bronze
2451	Gloden	Gloden
2452	Bronze	Silver
2453	Bronze	Bronze
2454	Silver	Silver
2455	Gloden	Bronze
2456	Normal	Bronze
2457	Bronze	Silver
2458	Bronze	Bronze
2459	Bronze	Bronze
2460	Silver	Bronze
2461	Bronze	Gloden
2462	Bronze	Bronze
2463	Bronze	Bronze
2464	Bronze	Bronze
2465	Normal	Normal
2466	Silver	Bronze
2467	Silver	Normal
2468	Normal	Gloden
2469	Gloden	Gloden
2470	Bronze	Bronze
2471	Silver	Silver
2472	Bronze	Bronze
2473	Normal	Normal
2474	Gloden	Silver
2475	Bronze	Bronze
2476	Silver	Bronze
2477	Bronze	Bronze
2478	Normal	Gloden
2479	Bronze	Gloden
2480	Bronze	Bronze
2481	Bronze	Silver
2482	Bronze	Bronze
2483	Normal	Normal
2484	Normal	Normal
2485	Bronze	Bronze
2486	Bronze	Bronze
2487	Normal	Normal
2488	Bronze	Bronze
2489	Gloden	Gloden
2490	Normal	Normal
2491	Bronze	Bronze
2492	Normal	Normal
2493	Bronze	Bronze
2494	Gloden	Normal
2495	Gloden	Gloden
2496	Bronze	Gloden
2497	Normal	Bronze
2498	Gloden	Gloden
2499	Normal	Normal
2500	Normal	Normal
2501	Bronze	Silver
2502	Bronze	Silver
2503	Bronze	Bronze
2504	Bronze	Bronze
2505	Normal	Bronze
2506	Bronze	Bronze
2507	Bronze	Bronze
2508	Gloden	Gloden
2509	Normal	Bronze
2510	Bronze	Bronze
2511	Silver	Normal
2512	Silver	Silver
2513	Gloden	Gloden
2514	Silver	Gloden
2515	Normal	Normal
2516	Normal	Normal
2517	Bronze	Bronze
2518	Bronze	Bronze
2519	Normal	Normal
2520	Bronze	Normal
2521	Bronze	Silver
2522	Bronze	Bronze
2523	Normal	Normal
2524	Gloden	Gloden
2525	Bronze	Bronze
2526	Bronze	Gloden
2527	Silver	Gloden
2528	Bronze	Bronze
2529	Gloden	Bronze
2530	Normal	Normal
2531	Bronze	Silver
2532	Bronze	Bronze
2533	Gloden	Gloden
2534	Normal	Normal
2535	Bronze	Bronze
2536	Silver	Silver
2537	Bronze	Normal
2538	Bronze	Silver
2539	Bronze	Bronze
2540	Bronze	Bronze
2541	Bronze	Silver
2542	Normal	Normal
2543	Normal	Normal
2544	Silver	Gloden
2545	Bronze	Normal
2546	Bronze	Bronze
2547	Silver	Bronze
2548	Bronze	Bronze
2549	Bronze	Bronze
2550	Bronze	Bronze
2551	Bronze	Bronze
2552	Bronze	Bronze
2553	Silver	Bronze
2554	Bronze	Normal
2555	Gloden	Bronze
2556	Normal	Normal
2557	Gloden	Bronze
2558	Bronze	Bronze
2559	Bronze	Bronze
2560	Bronze	Normal
2561	Bronze	Bronze
2562	Bronze	Bronze
2563	Gloden	Gloden
2564	Bronze	Bronze
2565	Bronze	Bronze
2566	Bronze	Bronze
2567	Bronze	Bronze
2568	Normal	Normal
2569	Normal	Normal
2570	Bronze	Gloden
2571	Normal	Normal
2572	Normal	Normal
2573	Gloden	Silver
2574	Bronze	Bronze
2575	Bronze	Bronze
2576	Bronze	Bronze
2577	Bronze	Bronze
2578	Bronze	Silver
2579	Bronze	Bronze
2580	Bronze	Bronze
2581	Bronze	Bronze
2582	Bronze	Bronze
2583	Gloden	Gloden
2584	Bronze	Bronze
2585	Bronze	Bronze
2586	Normal	Normal
2587	Bronze	Bronze
2588	Bronze	Bronze
2589	Bronze	Silver
2590	Gloden	Gloden
2591	Normal	Normal
2592	Bronze	Bronze
2593	Gloden	Gloden
2594	Silver	Silver
2595	Bronze	Bronze
2596	Normal	Normal
2597	Gloden	Bronze
2598	Bronze	Bronze
2599	Bronze	Bronze
2600	Bronze	Bronze
2601	Silver	Silver
2602	Bronze	Bronze
2603	Normal	Normal
2604	Normal	Gloden
2605	Gloden	Silver
2606	Bronze	Normal
2607	Bronze	Bronze
2608	Bronze	Silver
2609	Silver	Silver
2610	Bronze	Bronze
2611	Bronze	Bronze
2612	Gloden	Gloden
2613	Bronze	Bronze
2614	Normal	Normal
2615	Bronze	Bronze
2616	Bronze	Gloden
2617	Bronze	Gloden
2618	Bronze	Bronze
2619	Bronze	Bronze
2620	Normal	Normal
2621	Bronze	Bronze
2622	Bronze	Bronze
2623	Normal	Normal
2624	Bronze	Gloden
2625	Bronze	Bronze
2626	Bronze	Bronze
2627	Bronze	Silver
2628	Gloden	Normal
2629	Bronze	Silver
2630	Bronze	Bronze
2631	Bronze	Bronze
2632	Bronze	Gloden
2633	Bronze	Silver
2634	Bronze	Bronze
2635	Gloden	Bronze
2636	Bronze	Bronze
2637	Silver	Silver
2638	Normal	Bronze
2639	Bronze	Bronze
2640	Silver	Silver
2641	Bronze	Bronze
2642	Bronze	Normal
2643	Bronze	Bronze
2644	Bronze	Bronze
2645	Bronze	Bronze
2646	Bronze	Bronze
2647	Silver	Bronze
2648	Normal	Normal
2649	Gloden	Gloden
2650	Bronze	Normal
2651	Bronze	Gloden
2652	Gloden	Bronze
2653	Normal	Normal
2654	Silver	Silver
2655	Silver	Gloden
2656	Bronze	Bronze
2657	Bronze	Silver
2658	Silver	Silver
2659	Bronze	Bronze
2660	Silver	Silver
2661	Bronze	Bronze
2662	Bronze	Bronze
2663	Bronze	Bronze
2664	Gloden	Gloden
2665	Bronze	Gloden
2666	Silver	Normal
2667	Bronze	Bronze
2668	Bronze	Silver
2669	Silver	Bronze
2670	Bronze	Silver
2671	Bronze	Silver
2672	Silver	Silver
2673	Bronze	Bronze
2674	Bronze	Bronze
2675	Gloden	Gloden
2676	Normal	Normal
2677	Bronze	Bronze
2678	Normal	Bronze
2679	Bronze	Silver
2680	Normal	Normal
2681	Bronze	Gloden
2682	Gloden	Silver
2683	Silver	Gloden
2684	Bronze	Gloden
2685	Bronze	Bronze
2686	Bronze	Bronze
2687	Silver	Bronze
2688	Bronze	Bronze
2689	Bronze	Silver
2690	Bronze	Bronze
2691	Bronze	Bronze
2692	Gloden	Normal
2693	Bronze	Gloden
2694	Bronze	Bronze
2695	Normal	Normal
2696	Bronze	Bronze
2697	Silver	Gloden
2698	Bronze	Bronze
2699	Bronze	Gloden
2700	Bronze	Bronze
2701	Normal	Normal
2702	Bronze	Normal
2703	Bronze	Gloden
2704	Bronze	Bronze
2705	Bronze	Bronze
2706	Bronze	Bronze
2707	Bronze	Silver
2708	Bronze	Bronze
2709	Bronze	Bronze
2710	Silver	Silver
2711	Bronze	Bronze
2712	Gloden	Silver
2713	Bronze	Silver
2714	Gloden	Gloden
2715	Bronze	Bronze
2716	Bronze	Bronze
2717	Bronze	Bronze
2718	Normal	Normal
2719	Bronze	Bronze
2720	Bronze	Bronze
2721	Silver	Gloden
2722	Silver	Bronze
2723	Bronze	Bronze
2724	Bronze	Bronze
2725	Normal	Silver
2726	Normal	Normal
2727	Gloden	Gloden
2728	Gloden	Gloden
2729	Bronze	Bronze
2730	Bronze	Normal
2731	Silver	Silver
2732	Bronze	Bronze
2733	Silver	Silver
2734	Silver	Silver
2735	Normal	Normal
2736	Normal	Normal
2737	Bronze	Bronze
2738	Normal	Normal
2739	Normal	Normal
2740	Bronze	Bronze
2741	Silver	Bronze
2742	Normal	Normal
2743	Bronze	Bronze
2744	Bronze	Bronze
2745	Bronze	Bronze
2746	Bronze	Bronze
2747	Bronze	Silver
2748	Bronze	Bronze
2749	Normal	Normal
2750	Bronze	Bronze
2751	Bronze	Bronze
2752	Bronze	Silver
2753	Gloden	Gloden
2754	Gloden	Gloden
2755	Bronze	Silver
2756	Bronze	Bronze
2757	Bronze	Bronze
2758	Bronze	Bronze
2759	Normal	Normal
2760	Bronze	Bronze
2761	Silver	Bronze
2762	Bronze	Bronze
2763	Normal	Normal
2764	Bronze	Normal
2765	Bronze	Silver
2766	Bronze	Bronze
2767	Normal	Normal
2768	Bronze	Bronze
2769	Bronze	Bronze
2770	Bronze	Bronze
2771	Bronze	Bronze
2772	Bronze	Bronze
2773	Bronze	Silver
2774	Bronze	Normal
2775	Bronze	Bronze
2776	Bronze	Silver
2777	Normal	Normal
2778	Bronze	Bronze
2779	Silver	Bronze
2780	Normal	Silver
2781	Bronze	Bronze
2782	Silver	Gloden
2783	Bronze	Bronze
2784	Bronze	Gloden
2785	Bronze	Bronze
2786	Silver	Gloden
2787	Bronze	Bronze
2788	Gloden	Gloden
2789	Bronze	Silver
2790	Bronze	Gloden
2791	Bronze	Bronze
2792	Normal	Normal
2793	Bronze	Bronze
2794	Bronze	Bronze
2795	Gloden	Gloden
2796	Gloden	Gloden
2797	Bronze	Bronze
2798	Bronze	Bronze
2799	Gloden	Gloden
2800	Normal	Normal
2801	Silver	Normal
2802	Silver	Gloden
2803	Silver	Silver
2804	Normal	Normal
2805	Bronze	Bronze
2806	Gloden	Gloden
2807	Bronze	Bronze
2808	Bronze	Bronze
2809	Bronze	Gloden
2810	Bronze	Bronze
2811	Bronze	Bronze
2812	Bronze	Bronze
2813	Bronze	Silver
2814	Silver	Normal
2815	Normal	Silver
2816	Bronze	Bronze
2817	Bronze	Bronze
2818	Normal	Normal
2819	Bronze	Bronze
2820	Bronze	Normal
2821	Bronze	Silver
2822	Bronze	Bronze
2823	Bronze	Normal
2824	Silver	Silver
2825	Bronze	Bronze
2826	Bronze	Bronze
2827	Bronze	Bronze
2828	Bronze	Gloden
2829	Silver	Normal
2830	Normal	Normal
2831	Bronze	Silver
2832	Bronze	Gloden
2833	Bronze	Bronze
2834	Gloden	Gloden
2835	Gloden	Bronze
2836	Bronze	Gloden
2837	Gloden	Gloden
2838	Gloden	Silver
2839	Bronze	Normal
2840	Normal	Normal
2841	Bronze	Silver
2842	Normal	Normal
2843	Normal	Normal
2844	Silver	Bronze
2845	Bronze	Bronze
2846	Silver	Bronze
2847	Bronze	Bronze
2848	Bronze	Bronze
2849	Bronze	Bronze
2850	Bronze	Bronze
2851	Bronze	Bronze
2852	Bronze	Silver
2853	Bronze	Normal
2854	Gloden	Gloden
2855	Bronze	Gloden
2856	Bronze	Bronze
2857	Bronze	Bronze
2858	Bronze	Bronze
2859	Bronze	Bronze
2860	Bronze	Bronze
2861	Bronze	Bronze
2862	Bronze	Bronze
2863	Bronze	Bronze
2864	Silver	Silver
2865	Bronze	Bronze
2866	Normal	Normal
2867	Bronze	Normal
2868	Bronze	Gloden
2869	Bronze	Bronze
2870	Normal	Bronze
2871	Normal	Bronze
2872	Silver	Silver
2873	Bronze	Bronze
2874	Bronze	Bronze
2875	Bronze	Bronze
2876	Bronze	Bronze
2877	Bronze	Bronze
2878	Bronze	Bronze
2879	Normal	Normal
2880	Bronze	Silver
2881	Bronze	Bronze
2882	Bronze	Gloden
2883	Bronze	Normal
2884	Normal	Normal
2885	Bronze	Bronze
2886	Bronze	Silver
2887	Bronze	Gloden
2888	Bronze	Normal
2889	Bronze	Bronze
2890	Bronze	Bronze
2891	Bronze	Normal
2892	Bronze	Bronze
2893	Gloden	Gloden
2894	Bronze	Bronze
2895	Bronze	Bronze
2896	Normal	Normal
2897	Normal	Gloden
2898	Silver	Bronze
2899	Bronze	Bronze
2900	Bronze	Bronze
2901	Bronze	Bronze
2902	Bronze	Bronze
2903	Bronze	Bronze
2904	Gloden	Gloden
2905	Bronze	Bronze
2906	Normal	Gloden
2907	Bronze	Silver
2908	Bronze	Bronze
2909	Bronze	Silver
2910	Bronze	Bronze
2911	Normal	Gloden
2912	Normal	Normal
2913	Bronze	Silver
2914	Bronze	Bronze
2915	Bronze	Bronze
2916	Normal	Bronze
2917	Bronze	Bronze
2918	Gloden	Gloden
2919	Bronze	Bronze
2920	Silver	Gloden
2921	Bronze	Silver
2922	Silver	Gloden
2923	Bronze	Gloden
2924	Bronze	Bronze
2925	Bronze	Gloden
2926	Bronze	Bronze
2927	Bronze	Bronze
2928	Bronze	Bronze
2929	Bronze	Bronze
2930	Bronze	Bronze
2931	Bronze	Bronze
2932	Bronze	Bronze
2933	Silver	Bronze
2934	Bronze	Bronze
2935	Bronze	Bronze
2936	Normal	Normal
2937	Normal	Normal
2938	Normal	Normal
2939	Gloden	Bronze
2940	Bronze	Bronze
2941	Bronze	Bronze
2942	Normal	Normal
2943	Bronze	Bronze
2944	Normal	Normal
2945	Bronze	Bronze
2946	Silver	Gloden
2947	Bronze	Normal
2948	Bronze	Bronze
2949	Bronze	Gloden
2950	Gloden	Gloden
2951	Bronze	Bronze
2952	Bronze	Bronze
2953	Normal	Normal
2954	Bronze	Bronze
2955	Bronze	Bronze
2956	Bronze	Bronze
2957	Bronze	Bronze
2958	Bronze	Bronze
2959	Bronze	Bronze
2960	Silver	Bronze
2961	Bronze	Bronze
2962	Bronze	Bronze
2963	Bronze	Bronze
2964	Normal	Normal
2965	Silver	Normal
2966	Bronze	Bronze
2967	Normal	Normal
2968	Bronze	Bronze
2969	Gloden	Gloden
2970	Normal	Normal
2971	Silver	Gloden
2972	Normal	Normal
2973	Silver	Bronze
2974	Bronze	Bronze
2975	Bronze	Bronze
2976	Gloden	Gloden
2977	Bronze	Bronze
2978	Silver	Bronze
2979	Gloden	Normal
2980	Bronze	Bronze
2981	Silver	Gloden
2982	Normal	Normal
2983	Gloden	Bronze
2984	Bronze	Gloden
2985	Bronze	Bronze
2986	Bronze	Bronze
2987	Bronze	Bronze
2988	Bronze	Bronze
2989	Silver	Bronze
2990	Bronze	Bronze
2991	Bronze	Bronze
2992	Normal	Normal
2993	Bronze	Bronze
2994	Bronze	Bronze
2995	Bronze	Bronze
2996	Bronze	Bronze
2997	Bronze	Bronze
2998	Normal	Normal
2999	Bronze	Bronze
3000	Bronze	Bronze
3001	Bronze	Bronze
3002	Bronze	Bronze
3003	Gloden	Gloden
3004	Bronze	Bronze
3005	Bronze	Normal
3006	Bronze	Bronze
3007	Bronze	Normal
3008	Gloden	Gloden
3009	Bronze	Bronze
3010	Silver	Gloden
3011	Bronze	Bronze
3012	Normal	Normal
3013	Bronze	Bronze
3014	Bronze	Bronze
3015	Gloden	Gloden
3016	Bronze	Bronze
3017	Bronze	Gloden
3018	Gloden	Gloden
3019	Bronze	Bronze
3020	Bronze	Bronze
3021	Silver	Bronze
3022	Bronze	Normal
3023	Bronze	Bronze
3024	Normal	Normal
3025	Bronze	Bronze
3026	Normal	Gloden
3027	Bronze	Bronze
3028	Bronze	Bronze
3029	Bronze	Bronze
3030	Bronze	Bronze
3031	Silver	Gloden
3032	Gloden	Gloden
3033	Bronze	Bronze
3034	Bronze	Bronze
3035	Bronze	Bronze
3036	Gloden	Gloden
3037	Gloden	Gloden
3038	Bronze	Bronze
3039	Bronze	Gloden
3040	Bronze	Bronze
3041	Bronze	Bronze
3042	Silver	Bronze
3043	Bronze	Bronze
3044	Bronze	Bronze
3045	Bronze	Bronze
3046	Bronze	Bronze
3047	Gloden	Gloden
3048	Gloden	Bronze
3049	Bronze	Bronze
3050	Bronze	Bronze
3051	Gloden	Gloden
3052	Silver	Gloden
3053	Bronze	Gloden
3054	Bronze	Normal
3055	Bronze	Normal
3056	Normal	Normal
3057	Bronze	Gloden
3058	Bronze	Gloden
3059	Bronze	Gloden
3060	Bronze	Gloden
3061	Gloden	Gloden
3062	Gloden	Gloden
3063	Gloden	Gloden
3064	Gloden	Gloden
3065	Gloden	Gloden
3066	Gloden	Gloden
3067	Bronze	Gloden
3068	Gloden	Gloden
3069	Gloden	Gloden
3070	Gloden	Gloden
3071	Gloden	Gloden
3072	Gloden	Gloden
3073	Bronze	Gloden
3074	Bronze	Gloden
3075	Bronze	Gloden
3076	Bronze	Gloden
3077	Gloden	Gloden
3078	Gloden	Gloden
3079	Bronze	Gloden
3080	Normal	Gloden
3081	Gloden	Gloden
